Years,Agriculture,Foresty,Fishing,Mining,Sub total of primary,Manufacturing,Construction,Electricity,Sub total of secondary,Transport,Railways,Storage,Communication,Banking,Realestate,Publicadministration,Other,Sub total of tertiary,State domestic product
1997,1923763,38543,118908,194463,2275677,2674775,405538,308943,3389256,650988,94306,2418,156723,515118,425373,280291,495761,3453827,9118760
1998,2253854,40351,124792,195136,2614133,3110275,486119,331091,3927485,723694,79713,2602,192704,541052,506271,406348,608562,3988834,10530452
1999,1645000,38800,137600,222900,2044300,3440500,659200,189300,4289000,750500,79200,2800,173800,751900,603100,484600,756800,4555900,10889200
2000,1474600,24600,118700,291900,1909800,3282300,570500,259600,4112400,811500,84300,3000,181100,634900,721000,477600,869300,4826400,10848400
2001,1840300,28400,143100,307700,2319500,3536100,538000,414500,4488600,895900,96300,3800,220400,739600,773200,474400,958100,5344500,12152500
2002,1769100,53200,160500,510900,2493700,4228300,715100,487200,5430600,980100,108100,3200,226200,927500,843800,483200,1042400,6044700,13969000
2003,2848700,53900,143500,587800,3633900,4830200,801300,529000,6160500,1101300,110400,3300,277100,1008700,955700,502100,1133100,6776500,16570800
2004,2674600,450400,145600,702600,3270600,5544300,1302400,585300,8134600,1433500,149600,4800,319900,1135300,1336400,648000,1010800,8932100,20337300
2005,3532300,494700,205000,811100,4232000,6953800,1462600,674300,9901800,1605000,152700,5100,342900,1243400,1504000,733600,1165900,10339800,24473600
2006,4207500,571300,225500,837000,5004300,8072600,1736100,760500,11406200,1792700,164000,6400,346600,1395600,1715700,859000,1293200,11958800,28369300
2007,5107700,441500,240500,887300,5789700,9049800,2501500,732400,13171000,2033200,179100,7000,386500,1603300,2018900,954200,1510500,13967800,32928500
2008,5108800,527900,268200,945700,5904900,10004300,2952100,801100,14703200,2307800,221400,8100,446800,1847900,2335900,1065700,1721500,16183100,36791200
2009,5870700,562100,294800,995600,6727600,12693700,3165500,1193000,18047800,2783600,277900,13900,536400,1869800,2693600,1359900,2084200,18350800,43126200
2010,9486900,657400,321300,1105500,10465600,14498200,3530100,1480000,20613800,3252700,280700,16300,608700,2333800,3201600,1610900,2467300,21963600,53043000
2011,10736422,611318,323584,1850611,12587033,15681931,4469267,2190546,22341743,3253230,328792,36202,761929,2942743,3481417,1917276,2022268,20263330,61560607
2012,9917095,770303,367616,2315728,12232823,20692579,4702959,2679262,28074800,3715274,363157,40557,876741,3461652,3969395,2184966,2419178,24207926,72449536
2013,13040117,715171,452499,2026283,15066400,21997752,5352370,2890694,30240816,4015345,384751,46042,1099258,4116751,4564674,2373071,2739442,26801079,80762319
2014,13769969,761616,638357,2117218,15887187,24087538,5526017,3409983,33023538,4555910,511593,57634,1242520,4606644,5179502,2576195,3123413,30220377,89502727
2015,14233763,858369,694772,2276009,16509773,26640817,5968098,3812361,36421276,5105238,596006,66101,1391622,5210114,5916201,2887915,3628248,33445543,99431599
