Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
1998,1,ABDASA,GEN,IBRAHIM_ISHAQ_MANDHRA,M,INC,65.25
1998,45,AMRELI,GEN,RUPALA_PARSHOTAMBHAI_KHODABHAI,M,BJP,57.96
1998,133,ANAND,GEN,PATEL_DILIPBHAI_MANIBHAI,M,BJP,60.93
1998,5,ANJAR,GEN,AHIR_VASANBHAI_GOPALBHAI,M,BJP,49.05
1998,157,ANKLESHWAR,GEN,PATEL_JAYANTIBHAI_ZINABHAI,M,BJP,59.31
1998,72,ASARWA,GEN,PATEL_AMRISHKUMAR_GOVINDLAL,M,BJP,51.3
1998,43,BABRA,GEN,UNDHAD_BAVKUBHAI_NATHABHAI,M,BJP,63.47
1998,124,BALASINOR,GEN,CHAUHAN_MANSHINH_KOHYABHAI,M,AIRJP,60.58
1998,166,BARDOLI,ST,RAJWADI_RAJNIKANT_PRABHUBHAI,M,BJP,62.09
1998,147,BARODA_CITY,GEN,LAKHAWALA_BHUPENDRA_GATULAL,M,BJP,52.72
1998,151,BARODA_RURAL,GEN,CHUDASAMA_DILUBHA_TEMUBHA,M,BJP,55.11
1998,61,BAVLA,SC,MAKWANA_GUNVANTBHAI_N.,M,INC,56.56
1998,109,BAYAD,GEN,DR._PATEL_MAHENDRABHAI_SOMABHAI,M,BJP,74.08
1998,139,BHADRAN,GEN,PARMAR_DHIRSINH_CHHATRASINH,M,INC,61.96
1998,29,BHANVAD,GEN,BERA_MURUBHAI_HARADAS,M,BJP,56.75
1998,57,BHAVNAGAR_NORTH,GEN,MAHENDRA_TRIVEDI,M,BJP,51.73
1998,58,BHAVNAGAR_SOUTH,GEN,OZA_SUNIL_BALKRISHNABHAI,M,BJP,53.19
1998,105,BHILODA,GEN,UPENDRA_TRIVEDI,M,IND,62.27
1998,3,BHUJ,GEN,ZAVERI_MUKESH_BABULAL,M,BJP,58.04
1998,138,BORSAD,GEN,SOLANKI_BHARATBHAI_MADHAVSINH,M,INC,61.6
1998,49,BOTAD,GEN,SAURABH_PATEL,M,BJP,63.36
1998,156,BROACH,GEN,BIPINBHAI_ISHWARLAL_SHAH,M,BJP,57.26
1998,178,BULSAR,GEN,DESAI_DOLATRAI_NATHUBHAI,M,BJP,54.13
