Year,IMR(M+F),IMR-Rural(M+F),IMR-Urban(M+F),Birth_Rate,Birth_Rate_Rural,Birth_Rate_Urban,Death_Rate,Death_Rate_Rural,Death_Rate_Urban,TFR
1997,0,0,0,0,0,0,0,0,0,0 
1998,64,71,46,26,27,22,7.9,8.6,6.4, 3.0 
1999,63,70,45,25,27,22,7.9,8.8,5.9, 3.0 
2000,62,69,45,25,27,22,7.5,8.3,5.8, 2.9 
2001,60,68,42,25,27,22,7.8,8.9,5.6, 2.9 
2002,60,68,37,25,27,21,7.7,8.3,6.4, 2.8 
2003,57,65,36,25,27,21,7.6,8.2,6.3, 2.8 
2004,53,62,38,24,26,21,6.9,7.8,5.5, 2.8 
2005,54,63,37,24,26,21,7.1,8,5.8, 2.8 
2006,53,62,37,24,25,21,7.3,8.2,5.9, 2.7 
2007,52,60,36,23,25,21,7.2,8.1,5.8, 2.6 
2008,50,58,35,23,24,20,6.9,8,5.4, 2.5 
2009,48,55,33,22,24,20,6.9,7.7,5.6, 2.5 
2010,44,51,30,22,23,19,6.7,7.5,5.5, 2.5 
2011,41,48,27,21,23,19,6.7,7.4,5.7, 2.4 
2012,38,45,24,21,23,19,6.6,7.3,5.6, 2.3 
2013,36,43,22,21,22,19,6.5,7.2,5.5, 2.3 
2014,0,0,0,0,0,0,0,0,0,0 
