Years,Government Enrollment,Private Enrollment,Government Schools,Private Schools,Teachers_Government,Teachers_Private
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,5864649,734587,31786,3000,159298,21708
2004,0,0,0,0,0,0
2005,6065471,1089529,32389,4616,173026,33667
2006,6083940,1456921,32935,5537,0,0
2007,0,0,0,0,0,0
2008,6006917,1705360,33182,5924,0,0
2009,5881273,1993118,33426,6513,0,0
2010,5916978,228365,33552,7191,198584,61660
2011,5982181,2393253,33496,7444,206203,66809
2012,6215390,3003059,33767,8972,206965,96570
2013,6105605,3122142,33713,9462,204682,105190
2014,0,0,0,0,0,0
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
