Year,Rape,Kidnapping_Abduction,Dowry_Deaths,Domestic_Violence,Molestation,Eveteasing,Importing,SATI,Immoral_Traffic,Indecent Representation,Dowry Proh.Act,Total
1997,0,0,0,0,0,0,0,0,0,0,0
1998,368,1182,90,3602,1210,139,57,0,8,2,0,6658
1999,331,1074,94,3886,1083,172,0,0,40,1,13,6694
2000,330,868,93,3739,944,119,0,0,47,0,0,6140
2001,286,857,67,3667,756,111,0,0,61,0,0,5805
2002,267,807,62,3321,750,104,0,0,57,4,0,5373
2003,236,859,54,3684,722,92,0,0,74,14,0,5735
2004,339,905,58,3955,757,164,0,0,33,0,0,6211
2005,324,916,48,4090,802,104,0,0,59,0,0,6343
2006,354,945,50,4977,736,138,0,0,78,0,0,7279
2007,316,1089,42,5827,822,120,0,0,44,0,0,8260
2008,374,1119,27,6094,828,122,0,0,52,0,0,8616
2009,433,1162,24,5506,727,114,0,0,41,0,0,8009
2010,408,1290,19,5600,668,110,0,0,46,0,0,8148
2011,439,1442,30,6052,685,93,0,0,46,0,0,8815
2012,473,1527,21,6658,745,93,0,0,44,0,0,9561
2013,732,2230,29,7812,1243,77,0,0,76,0,84,12283
2014,841,2187,23,5991,1352,173,0,0,45,0,53,10665
2015,503,1569,12,4133,1164,73,0,0,35,0,36,7525
2016,0,0,0,0,0,0,0,0,0,0,0
