Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Liablities
JHANDUTA,Beeru Ram Kishore,INC,0,Graduate Professional,64,"1,57,76,008","71,43,169"
JHANDUTA,Jeet Ram Katwal,BJP,0,Post Graduate,61,"1,70,98,264","8,53,593"
GHUMARWIN,Rajesh Dharmani,INC,0,Post Graduate,45,"98,63,447","5,74,457"
GHUMARWIN,Rajinder Garg,BJP,0,Post Graduate,51,"2,69,80,169","3,46,499"
GHUMARWIN,Suresh Kumar,IND,0,12th Pass,48,"3,66,000",0
BILASPUR,Amar Singh,Lok Gathbandhan Party,0,Graduate,44,"12,46,883","8,34,000"
BILASPUR,Basant Ram Sandhu,IND,0,12th Pass,58,"20,06,000",0
BILASPUR,Bumber Thakur,INC, 1 ,Graduate Professional,0,"4,46,83,505","57,44,834"
BILASPUR,Subhash Thakur,BJP, 1 ,Post Graduate,0,"1,84,65,397","4,30,144"
SRI NAINA DEVIJI,Balak Ram Sharma,All India Forward Bloc,0,12th Pass,59,"60,42,543","12,14,000"
SRI NAINA DEVIJI,Ram Lal Thakur,INC,0,Graduate Professional,66,"3,58,29,952",0
SRI NAINA DEVIJI,Ramesh Chand,IND, 1 ,12th Pass,52,"76,03,157","7,00,000"
SRI NAINA DEVIJI,Randhir Sharma,BJP, 2 ,Post Graduate,53,"1,85,57,732",0
SRI NAINA DEVIJI,Sukh Ram Thakur,IND,0,Post Graduate,62,"61,05,088","19,80,000"
CHURAH,Des Raj,IND,0,Graduate,58,"1,20,63,243","1,70,421"
CHURAH,Hans Raj,BJP, 2 ,Post Graduate,34,"52,94,137","15,87,148"
CHURAH,Nand Kumar,SP,0,Post Graduate,30,"1,000",0
CHURAH,Surender Bhardwaj,INC,0,Graduate Professional,69,"1,00,15,000","10,00,000"
BHARMOUR,Janam Singh,IND,0,12th Pass,59,"1,45,98,674","6,00,000"
BHARMOUR,Jia Lal,BJP, 2 ,10th Pass,52,"83,19,838",0
BHARMOUR,Lalit Thakur,IND, 1 ,Post Graduate,49,"2,24,70,576",0
BHARMOUR,Thakur Singh Bharmouri,INC,0,Graduate,70,"6,57,84,511","16,19,004"
CHAMBA,Bal Krishan Chauhan,IND, 1 ,Post Graduate,69,"1,80,61,322",0
CHAMBA,Dr. Devinder Kumar Soni,IND,0,Graduate Professional,62,"1,81,54,412","5,48,084"
CHAMBA,Neeraj Nayar,INC, 1 ,Graduate,46,"6,18,43,180","98,47,931"
CHAMBA,Paras Ram,BSP,0,12th Pass,43,"10,10,000",0
CHAMBA,Pawan Nayyar,BJP,0,Graduate,65,"3,34,22,263","28,12,000"
DALHOUSIE,Asha Kumari,INC, 1 ,Graduate,62,"4,53,10,570","60,66,090"
DALHOUSIE,Dhavinder Singh,BJP, 2 ,10th Pass,51,"8,09,87,490","90,61,961"
DALHOUSIE,Dhian Singh,CPI,0,10th Pass,64,"1,22,90,091",0
DALHOUSIE,Virender Sharma,Rashtriya Azad Manch, 1 ,12th Pass,44,"96,61,000","33,13,847"
BHATTIYAT,Bikram Singh Jaryal,BJP, 1 ,Graduate,56,"64,48,000","50,00,000"
BHATTIYAT,Kuldeep Singh Pathania,INC,0,Graduate Professional,60,"8,95,73,130","22,29,043"
BHATTIYAT,Nagesh Kumar,IND,0,Graduate,37,"47,78,000","7,00,000"
BHATTIYAT,Rahul Ranpatia,IND,0,Graduate Professional,32,"84,35,000","5,00,000"
BHORANJ,Dhani Ram,IND,0,Graduate,62,"38,68,743",0
BHORANJ,Kamlesh Kumari,BJP,0,10th Pass,47,"29,19,207","8,00,000"
BHORANJ,Madan Lal,Samaj Adhikar Kalyan Party,0,8th Pass,40,"2,90,000",0
BHORANJ,Praveen Kumar,BSP,0,Graduate,40,"27,34,350","7,79,000"
BHORANJ,Suresh Kumar,INC, 1 ,Post Graduate,51,"1,60,77,000","55,00,000"
SUJANPUR,Joginder Kumar,CPI(M),0,Graduate Professional,36,"75,45,864",0
SUJANPUR,Parveen Kumar,BSP,0,Graduate,61,"1,69,99,075","67,00,000"
SUJANPUR,Prem Kumar Dhumal,BJP, 2 ,Post Graduate,73,"3,62,79,509",0
SUJANPUR,Rajinder Singh,INC,0,Graduate,51,"26,48,33,629","24,11,117"
SUJANPUR,Ravinder Singh Dogra,NCP,0,12th Pass,40,"10,000","50,000"
HAMIRPUR,Anil Kumar Mankotia,CPI(M), 2 ,Graduate,34,"5,75,000",0
HAMIRPUR,Ashish Kumar,IND,0,Graduate Professional,37,"10,500",0
HAMIRPUR,Kamal Pathania,IND,0,12th Pass,43,"3,27,79,303","1,29,25,000"
HAMIRPUR,Kuldeep Singh,INC,0,Graduate,54,"2,01,44,988","9,59,322"
HAMIRPUR,Lal Singh Mastana,BSP,0,Graduate,71,"82,79,000","5,63,390"
HAMIRPUR,Narinder Thakur,BJP,0,Post Graduate,60,"2,32,74,307","44,34,675"
HAMIRPUR,Raj Kumar,Samaj Adhikar Kalyan Party,0,10th Pass,40,"2,60,000",0
BARSAR,Baldev Sharma,BJP,0,12th Pass,58,"2,99,75,141","75,65,895"
BARSAR,Inder Dutt Lakhanpal,INC,0,Graduate,55,"4,40,98,037","1,50,00,000"
BARSAR,Saroti Devi,BSP,0,5th Pass,51,"6,81,000","6,50,000"
BARSAR,Sita Ram Bhardwaj,IND,0,12th Pass,63,"6,05,23,951","33,60,600"
BARSAR,Vinod Thakur,Lok Gathbandhan Party,0,10th Pass,39,"2,35,732","6,16,620"
NADAUN,Lekh Raj,IND,0,10th Pass,55,"40,89,07,409","48,76,100"
NADAUN,Prithi Chand,IND, 1 ,10th Pass,68,"46,65,430",0
